time,distance(meters),num_sats,flags
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190459,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190500,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190501,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190502,100.00, 9, 1
19691231_190503,100.00, 9, 1
19691231_190503,100.00, 9, 1
19691231_190503,100.00, 9, 1
19691231_190503,100.00, 9, 1
19691231_190503,100.00, 9, 1
19691231_190503,100.00, 9, 1
19691231_190503,100.00, 9, 1
19691231_190503,100.00, 9, 1
19691231_190503,100.00, 9, 1
19691231_190503,100.00, 9, 1
19691231_190503,100.00, 9, 1
19691231_190503,100.00, 9, 1
19691231_190503,100.00, 9, 1
19691231_190503,100.00, 9, 1
19691231_190503,100.00, 9, 1
19691231_190503,100.00, 9, 1
19691231_190503,100.00, 9, 1
19691231_190503,100.00, 9, 1
19691231_190503,100.00, 9, 1
19691231_190503,100.00, 9, 1
19691231_190503,100.00, 9, 1
19691231_190503,100.00, 9, 1
19691231_190503,100.00, 9, 1
19691231_190503,100.00, 9, 1
19691231_190503,100.00, 9, 1
19691231_190503,100.00, 9, 1
19691231_190503,100.00, 9, 1
19691231_190503,100.00, 9, 1
19691231_190503,100.00, 9, 1
