time,speed(m/s),num_sats
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190449,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190450,     0, 9
19691231_190451,     0, 9
19691231_190451,     0, 9
19691231_190451,     0, 9
19691231_190451,     0, 9
19691231_190451,     0, 9
19691231_190451,     0, 9
19691231_190451,     0, 9
19691231_190451,     0, 9
19691231_190451,     0, 9
19691231_190451,     0, 9
19691231_190451,     0, 9
19691231_190451,     0, 9
