Time,latitude,longitude,depth,fixed_state
20240714_071112,-2.145022,-79.966138,5.000,0
20240715_105752,-2.145022,-79.966138,5.000,0
20240715_105752,-2.145035,-79.966166,5.000,0
20250825_165752,-2.145035,-79.966166,5.000,0
20250825_165752,-2.145255,-79.965806,5.000,0
20250826_204432,-2.145255,-79.965806,5.000,0
20250826_204432,-2.145274,-79.965806,5.000,0
20250828_003112,-2.145274,-79.965806,5.000,0
20250828_003112,-2.145298,-79.965803,5.000,0
20250829_041752,-2.145298,-79.965803,5.000,0
20250829_041752,-2.145264,-79.965788,5.000,0
20250830_080432,-2.145264,-79.965788,5.000,0
20250830_080432,-2.145245,-79.965795,5.000,0
20250831_115112,-2.145245,-79.965795,5.000,0
20250831_115112,-2.145229,-79.965801,5.000,0
20250901_153752,-2.145229,-79.965801,5.000,0
20250901_153752,-2.145244,-79.965819,5.000,0
20250902_192432,-2.145244,-79.965819,5.000,0
20250902_192432,-2.145252,-79.965823,5.000,0
20250903_231112,-2.145252,-79.965823,5.000,0
20250903_231112,-2.145235,-79.965813,5.000,0
20250905_025752,-2.145235,-79.965813,5.000,0
20250905_025752,-2.145236,-79.965829,5.000,0
20250906_064432,-2.145236,-79.965829,5.000,0
20250906_064432,-2.145210,-79.965854,5.000,0
20250907_103112,-2.145210,-79.965854,5.000,0
20250907_103112,-2.145156,-79.965882,5.000,0
20250908_141752,-2.145156,-79.965882,5.000,0
20250908_141752,-2.145133,-79.965903,5.000,0
20250909_180432,-2.145133,-79.965903,5.000,0
20250909_180432,-2.145110,-79.965945,5.000,0
20250910_215112,-2.145110,-79.965945,5.000,0
20250910_215112,-2.145147,-79.965960,5.000,0
20260729_160432,-2.145147,-79.965960,5.000,0
20260729_160432,-2.145362,-79.965761,5.000,0
20260730_195112,-2.145362,-79.965761,5.000,0
20260730_195112,-2.145323,-79.965792,5.000,0
20260731_233752,-2.145323,-79.965792,5.000,0
20260731_233752,-2.145410,-79.965771,5.000,0
20260802_032432,-2.145410,-79.965771,5.000,0
20260802_032432,-2.145425,-79.965786,5.000,0
20260803_071112,-2.145425,-79.965786,5.000,0
20260803_071112,-2.145453,-79.965780,5.000,0
20260804_105752,-2.145453,-79.965780,5.000,0
20260804_105752,-2.145435,-79.965817,5.000,0
20260805_144432,-2.145435,-79.965817,5.000,0
20260805_144432,-2.145373,-79.965829,5.000,0
20260806_183112,-2.145373,-79.965829,5.000,0
20260806_183112,-2.145448,-79.965796,5.000,0
20260807_221752,-2.145448,-79.965796,5.000,0
20260807_221752,-2.145424,-79.965804,5.000,0
20260809_020432,-2.145424,-79.965804,5.000,0
20260809_020432,-2.145498,-79.965767,5.000,0
20260810_055112,-2.145498,-79.965767,5.000,0
20260810_055112,-2.145523,-79.965777,5.000,0
20260811_093752,-2.145523,-79.965777,5.000,0
20260811_093752,-2.145491,-79.965780,5.000,0
20260812_132432,-2.145491,-79.965780,5.000,0
20260812_132432,-2.145533,-79.965769,5.000,0
20260813_171112,-2.145533,-79.965769,5.000,0
20260813_171112,-2.145491,-79.965781,5.000,0
20260813_171112,-2.145630,-79.965673,5.000,0
20270701_112432,-2.145630,-79.965673,5.000,0
20270701_112432,-2.145624,-79.965682,5.000,0
20270702_151112,-2.145624,-79.965682,5.000,0
20270702_151112,-2.145596,-79.965722,5.000,0
20270703_185752,-2.145596,-79.965722,5.000,0
20270703_185752,-2.145613,-79.965711,5.000,0
20270706_023112,-2.145613,-79.965711,5.000,0
20270706_023112,-2.145638,-79.965689,5.000,0
20270707_061752,-2.145638,-79.965689,5.000,0
20270707_061752,-2.145638,-79.965703,5.000,0
20270708_100432,-2.145638,-79.965703,5.000,0
20270708_100432,-2.145644,-79.965696,5.000,0
20270709_135112,-2.145644,-79.965696,5.000,0
20270709_135112,-2.145633,-79.965700,5.000,0
20270710_173752,-2.145633,-79.965700,5.000,0
20270710_173752,-2.145640,-79.965738,5.000,0
20270711_212432,-2.145640,-79.965738,5.000,0
20270711_212432,-2.145643,-79.965747,5.000,0
20270713_011112,-2.145643,-79.965747,5.000,0
20270713_011112,-2.145642,-79.965733,5.000,0
20270714_045752,-2.145642,-79.965733,5.000,0
20270714_045752,-2.145626,-79.965741,5.000,0
20270715_084432,-2.145626,-79.965741,5.000,0
20270715_084432,-2.145620,-79.965721,5.000,0
20270716_123112,-2.145620,-79.965721,5.000,0
20270716_123112,-2.145621,-79.965714,5.000,0
20270716_123112,-2.145697,-79.965642,5.000,0
20280428_132432,-2.145697,-79.965642,5.000,0
20280428_132432,-2.145706,-79.965643,5.000,0
20280429_171112,-2.145706,-79.965643,5.000,0
20280429_171112,-2.145704,-79.965646,5.000,0
20280430_205752,-2.145704,-79.965646,5.000,0
20280430_205752,-2.145727,-79.965665,5.000,0
20280502_004432,-2.145727,-79.965665,5.000,0
20280502_004432,-2.145712,-79.965674,5.000,0
20280503_043112,-2.145712,-79.965674,5.000,0
20280503_043112,-2.145702,-79.965642,5.000,0
20280504_081752,-2.145702,-79.965642,5.000,0
20280504_081752,-2.145708,-79.965653,5.000,0
20280505_120432,-2.145708,-79.965653,5.000,0
20280505_120432,-2.145706,-79.965651,5.000,0
20280506_155112,-2.145706,-79.965651,5.000,0
20280506_155112,-2.145705,-79.965642,5.000,0
20280507_193752,-2.145705,-79.965642,5.000,0
20280507_193752,-2.145711,-79.965652,5.000,0
20280508_232432,-2.145711,-79.965652,5.000,0
20280508_232432,-2.145715,-79.965652,5.000,0
20280510_031112,-2.145715,-79.965652,5.000,0
20280510_031112,-2.145735,-79.965680,5.000,0
20280511_065752,-2.145735,-79.965680,5.000,0
20280511_065752,-2.145723,-79.965680,5.000,0
20280512_104432,-2.145723,-79.965680,5.000,0
20280512_104432,-2.145719,-79.965684,5.000,0
20280512_104432,-2.145832,-79.965631,5.000,0
20290319_185752,-2.145832,-79.965631,5.000,0
20290319_185752,-2.145849,-79.965624,5.000,0
20290320_224432,-2.145849,-79.965624,5.000,0
20290320_224432,-2.145851,-79.965631,5.000,0
20290322_023112,-2.145851,-79.965631,5.000,0
20290322_023112,-2.145751,-79.965667,5.000,0
20290323_061752,-2.145751,-79.965667,5.000,0
20290323_061752,-2.145751,-79.965635,5.000,0
20290324_100432,-2.145751,-79.965635,5.000,0
20290324_100432,-2.145799,-79.965619,5.000,0
20290325_135112,-2.145799,-79.965619,5.000,0
20290325_135112,-2.145835,-79.965613,5.000,0
20290326_173752,-2.145835,-79.965613,5.000,0
20290326_173752,-2.145913,-79.965565,5.000,0
20290327_212432,-2.145913,-79.965565,5.000,0
20290327_212432,-2.145875,-79.965586,5.000,0
20290329_011112,-2.145875,-79.965586,5.000,0
20290329_011112,-2.145884,-79.965565,5.000,0
20290330_045752,-2.145884,-79.965565,5.000,0
20290330_045752,-2.145866,-79.965551,5.000,0
20290331_084432,-2.145866,-79.965551,5.000,0
20290331_084432,-2.145819,-79.965567,5.000,0
20290401_123112,-2.145819,-79.965567,5.000,0
20290401_123112,-2.145962,-79.965528,5.000,0
20290402_161752,-2.145962,-79.965528,5.000,0
20290402_161752,-2.145900,-79.965552,5.000,0
20290403_200432,-2.145900,-79.965552,5.000,0
20290403_200432,-2.145875,-79.965559,5.000,0
20290404_235112,-2.145875,-79.965559,5.000,0
20290404_235112,-2.145869,-79.965551,5.000,0
20290406_033752,-2.145869,-79.965551,5.000,0
20290406_033752,-2.145817,-79.965569,5.000,0
20300325_035112,-2.145817,-79.965569,5.000,0
20300325_035112,-2.145923,-79.965543,5.000,0
20300326_073752,-2.145923,-79.965543,5.000,0
20300326_073752,-2.145922,-79.965559,5.000,0
20300327_112432,-2.145922,-79.965559,5.000,0
20300327_112432,-2.145919,-79.965563,5.000,0
20300328_151112,-2.145919,-79.965563,5.000,0
20300328_151112,-2.145913,-79.965600,5.000,0
20300329_185752,-2.145913,-79.965600,5.000,0
20300329_185752,-2.145915,-79.965606,5.000,0
20300330_224432,-2.145915,-79.965606,5.000,0
20300330_224432,-2.145920,-79.965620,5.000,0
20300401_023112,-2.145920,-79.965620,5.000,0
20300401_023112,-2.145958,-79.965684,5.000,0
20300402_061752,-2.145958,-79.965684,5.000,0
20300402_061752,-2.145957,-79.965660,5.000,0
20300403_100432,-2.145957,-79.965660,5.000,0
20300403_100432,-2.145956,-79.965657,5.000,0
20300404_135112,-2.145956,-79.965657,5.000,0
20300404_135112,-2.145958,-79.965638,5.000,0
20300405_173752,-2.145958,-79.965638,5.000,0
