time,speed(m/s),num_sats
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191611,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
19691231_191612,     0, 9
