Time,BUOY_latitude,BUOY_longitude,ROV_latitude,ROV_longitude,depth,fixed_state
20180920_155716,37.42998948,-122.17424069,37.43036162,-122.17377204,5.000,1
20180920_155717,37.42997828,-122.17422387,37.43035043,-122.17375523,5.000,0
20180920_155718,37.42998588,-122.17424095,37.43035803,-122.17377231,5.000,1
20180920_155719,37.42998588,-122.17424095,37.43035803,-122.17377231,5.000,1
20180920_155720,37.42997299,-122.17422778,37.43034513,-122.17375913,5.000,0
20180920_155721,37.42998228,-122.17424121,37.43035443,-122.17377256,5.000,1
20180920_155722,37.42998228,-122.17424121,37.43035443,-122.17377256,5.000,1
20180920_155723,37.42998151,-122.17420356,37.43035366,-122.17373491,5.000,0
20180920_155724,37.42997868,-122.17424144,37.43035083,-122.17377279,5.000,1
20180920_155725,37.42997868,-122.17424144,37.43035083,-122.17377279,5.000,1
20180920_155726,37.42998722,-122.17422811,37.43035937,-122.17375947,5.000,0
20180920_155727,37.42997508,-122.17424165,37.43034723,-122.17377301,5.000,1
20180920_155728,37.42997508,-122.17424165,37.43034723,-122.17377301,5.000,1
20180920_155729,37.42997305,-122.17425007,37.43034519,-122.17378143,5.000,0
20180920_155730,37.42997148,-122.17424185,37.43034363,-122.17377321,5.000,1
20180920_155731,37.42997148,-122.17424185,37.43034363,-122.17377321,5.000,1
20180920_155732,37.42996506,-122.17423542,37.43033720,-122.17376677,5.000,0
20180920_155733,37.42996788,-122.17424203,37.43034003,-122.17377339,5.000,1
20180920_155734,37.42912222,-122.17361530,37.42949436,-122.17314666,5.000,0
20180920_155735,37.42913499,-122.17363514,37.42950713,-122.17316650,5.000,1
20180920_155736,37.42913499,-122.17363514,37.42950713,-122.17316650,5.000,1
20180920_155737,37.42914789,-122.17362275,37.42952004,-122.17315411,5.000,0
20180920_155738,37.42913333,-122.17363113,37.42950547,-122.17316249,5.000,1
20180920_155739,37.42913333,-122.17363113,37.42950547,-122.17316249,5.000,1
20180920_155740,37.42913710,-122.17361858,37.42950925,-122.17314994,5.000,0
20180920_155741,37.42913168,-122.17362711,37.42950383,-122.17315847,5.000,1
20180920_155742,37.42913168,-122.17362711,37.42950383,-122.17315847,5.000,1
20180920_155743,37.42913276,-122.17362941,37.42950491,-122.17316077,5.000,0
20180920_155744,37.42913005,-122.17362308,37.42950219,-122.17315444,5.000,1
20180920_155745,37.42913005,-122.17362308,37.42950219,-122.17315444,5.000,1
20180920_155746,37.42914269,-122.17363071,37.42951484,-122.17316207,5.000,0
20180920_155747,37.42912843,-122.17361904,37.42950057,-122.17315041,5.000,1
20180920_155748,37.42912843,-122.17361904,37.42950057,-122.17315041,5.000,1
20180920_155749,37.42912792,-122.17359992,37.42950006,-122.17313128,5.000,0
20180920_155750,37.42912682,-122.17361500,37.42949897,-122.17314636,5.000,1
20180920_155751,37.42912682,-122.17361500,37.42949897,-122.17314636,5.000,1
20180920_155752,37.42912189,-122.17359893,37.42949404,-122.17313029,5.000,0
20180920_155753,37.42912522,-122.17361095,37.42949737,-122.17314231,5.000,1
20180920_155754,37.42912522,-122.17361095,37.42949737,-122.17314231,5.000,1
20180920_155755,37.42914128,-122.17362769,37.42951342,-122.17315905,5.000,0
20180920_155756,37.42912364,-122.17360689,37.42949579,-122.17313825,5.000,1
20180920_155757,37.42912364,-122.17360689,37.42949579,-122.17313825,5.000,1
20180920_155758,37.42912488,-122.17361020,37.42949703,-122.17314156,5.000,0
